year,day_month,Company,Size in Kbyte,Cost in USD,Speed in nanosec,Memory Type,Ref,Page,JDR Chip Prices - Size Kbit,JDR Chip Prices - USD,JDR Chip Prices - nanosec
1990,Oct,IC Express,1024,59,80,1Mx9-80 SIMM @ $59,BYTE,343,1024,11.95,120
1990,Nov,IC Express,1024,51,80,1Mx9-80 SIMM @ $51,BYTE,453,1024,11.95,120
1990,Dec,IC Express,1024,45.5,80,1Mx9-80 SIMM @ $45.50,BYTE,388,1024,7.95,120
1991,Jan,IC Express,1024,44.5,80,1Mx9-80 SIMM @ $44.50,BYTE,393,1024,7.95,120
1991,Feb,IC Express,1024,44.5,80,1Mx9-80 SIMM @ $44.50,BYTE,335,1024,7.95,120
1991,Mar,AMT International,1024,45,100,1Mx9-100 SIMM @ $45,BYTE,374,1024,7.95,120
1991,Apr,AMT International,1024,45,100,1Mx9-100 SIMM @ $45,BYTE,373,1024,7.95,120
1991,May,AMT International,1024,45,100,1Mx9-100 SIMM @ $45,BYTE,356,1024,7.95,120
1991,Jun,IC Express,4096,175,80,4Mx9-80 SIMM @ $175,BYTE,398,1024,6.89,120
1991,Jul,IC Express,4096,175,80,4Mx9-80 SIMM @ $175,BYTE,333,1024,6.89,120
1991,Aug,IC Express,4096,165,80,4Mx9-80 SIMM @ $165,BYTE,321,1024,6.89,120
1991,Sep,Microprocessors Internatinal,4096,185,80,4Mx9-80 SIMM @ $185,BYTE,375,1024,6.95,100
1991,Oct,Microprocessors Internatinal,4096,180,80,4Mx9-80 SIMM @ $180,BYTE,306,1024,6.95,100
1991,Nov,Nevada,4096,159,80,4Mx9-80 SIMM @ $159,BYTE,401,1024,5.49,100
1991,Dec,Nevada,4096,159,80,4Mx9-80 SIMM @ $159,BYTE,316,1024,5.49,100
1992,Jan,AMT International,4096,145,80,4Mx9-80 SIMM @ $145,BYTE,380,1024,5.49,100
1992,Feb,AMT International,4096,145,80,4Mx9-80 SIMM @ $145,BYTE,316,1024,5.49,100
1992,Mar,AMT International,4096,145,80,4Mx9-80 SIMM @ $145,BYTE,332,36864,179.95,80
1992,Apr,Sii Micros,4096,139,,4Mx9-?? SIMM @ $139,BYTE,318,36864,179.95,80
1992,May,AMT International,4096,120,80,4Mx9-80 SIMM @ $120,BYTE,342,36864,179.95,80
1992,Jun,AmRam,4096,130,80,4Mx9-80 SIMM @ $130,BYTE,406,36864,179.95,80
1992,Jul,AmRam,4096,134,80,4Mx9-80 SIMM @ $134,BYTE,351,36864,179.95,80
1992,Aug,Worldwide,4096,124,70,4Mx9-70 SIMM @ $124,BYTE,324,9216,39.95,100
1992,Sep,AMT International,4096,110,80,4Mx9-80 SIMM @ $110,BYTE,350,9216,39.95,100
1992,Oct,AMT International,4096,105,80,4Mx9-80 SIMM @ $105,BYTE,321,36864,149.95,80
1992,Nov,AMT International,4096,105,80,4Mx9-80 SIMM @ $105,BYTE,346,36864,149.95,80
1992,Dec,AMT International,4096,105,80,4Mx9-80 SIMM @ $105,BYTE,302,36864,149.95,80
1993,Jan,Cititronics,16384,529,,4Mx36-?? SIMM @ $526,BYTE,307,36864,149.95,80
1993,Feb,Memory Superstore,4096,110,70,4Mx9-70 SIMM @ $110,BYTE,269,36864,149.95,80
1993,Mar,Memory Superstore,4096,110,70,4Mx9-70 SIMM @ $110,BYTE,239,36864,149.95,80
1993,Apr,Memory Superstore,4096,110,70,4Mx9-70 SIMM @ $110,BYTE,245,36864,149.95,80
1993,May,Memory Superstore,4096,110,70,4Mx9-70 SIMM @ $110,BYTE,263,36864,149.95,80
1993,Jun,AMT International,1024,30,100,1Mx9-100 SIMM @ $30,BYTE,249,36864,149.95,80
1993,Jul,AMT International,1024,30,100,1Mx9-100 SIMM @ $30,BYTE,266,36864,149.95,80
1993,Aug,AMT International,1024,30,100,1Mx9-100 SIMM @ $30,BYTE,245,36864,149.95,80
1993,Sep,AMT International,1024,30,100,1Mx9-100 SIMM @ $30,BYTE,267,36864,149.95,80
1993,Oct,LA Trade,4096,144,80,4Mx9-80 SIMM @ $144,BYTE,260,36864,159.95,80
1993,Nov,First Source International,4096,159,70,4Mx9-70 SIMM @ $159,BYTE,360,36864,159.95,80
1993,Dec,West Coast Micro,4096,143,70,4Mx3x3-70 SIMM @ $143,BYTE,280,36864,159.95,80
1994,Jan,West Coast Micro,4096,143,70,4Mx3x3-70 SIMM @ $143,BYTE,290,36864,159.95,80
1994,Feb,West Coast Micro,4096,143,70,4Mx3x3-70 SIMM @ $143,BYTE,250,36864,159.95,80
1994,Mar,Nevada,4096,144,80,4Mx9-80 SIMM @ $144,BYTE,251,36864,159.95,80
1994,Apr,La Trade,4096,149,80,4Mx9-80 SIMM @ $149,BYTE,270,36864,154.95,80
1994,May,La Trade,4096,149,80,4Mx9-80 SIMM @ $149,BYTE,238,36864,154.95,80
1994,Jun,La Trade,4096,149,80,4Mx9-80 SIMM @ $149,BYTE,320,36864,169.95,60
1994,Jul,Nevada,4096,154,80,4Mx9-80 SIMM @ $154,BYTE,239,36864,169.95,60
1994,Aug,Nevada,1024,37,100,1Mx9-100 SIMM @ $37,BYTE,226,36864,169.95,60
1994,Sep,Pacific Coast Micro,4096,136,70,4Mx9-70 SIMM @ $136,BYTE,244,36864,169.95,60
1994,Oct,Pacific Coast Micro,4096,134,70,4Mx9-70 SIMM @ $134,BYTE,259,36864,159.95,70
1994,Nov,Pacific Coast Micro,4096,129,70,4Mx9-70 SIMM @ $129,BYTE,324,36864,159.95,70
1994,Dec,Pacific Coast Micro,4096,129,70,4Mx9-70 SIMM @ $129,BYTE,264,36864,159.95,70
1995,Jan,Nevada,4096,129,80,4Mx9-80 SIMM @ $129,BYTE,256,36864,159.95,70
1995,Feb,First Source International,4096,128,70,4Mx9-70 SIMM @ $129,BYTE,202,36864,159.95,70
1995,Mar,First Source International,4096,128,70,4Mx9-70 SIMM @ $129,BYTE,212,36864,159.95,70
1995,Apr,Pacific Coast Micro,16384,499,70,4Mx36-70 SIMM [72 pin] @ $499,BYTE,254,9216,37.95,80
1995,May,Pacific Coast Micro,16384,499,70,4Mx36-70 SIMM [72 pin] @ $499,BYTE,222,9216,37.95,80
1995,Jun,First Source International,16384,498,70,4Mx36-70 SIMM [72 pin] @ $498,BYTE,286,36864,135.29,80
1995,Jul,Pacific Coast Micro,16384,499,70,4Mx36-70 SIMM [72 pin] @ $499,BYTE,213,147456,619,70
1995,Aug,Pacific Coast Micro,16384,489,70,4Mx36-70 SIMM [72 pin] @ $489,BYTE,190,147456,619,70
1995,Sep,Future Micro,16384,529,70,4Mx36-70 SIMM [72 pin] @ $529,BYTE,306,147456,619,70
1995,Oct,Future Micro,16384,529,70,4Mx36-70 SIMM [72 pin] @ $529,BYTE,214,294912,1199,70
1995,Nov,First Source International,16384,494,70,4Mx36-70 SIMM [72 pin] @ $494,BYTE,286,294912,1199,70
1995,Dec,First Source International,16384,494,70,4Mx36-70 SIMM [72 pin] @ $494,BYTE,244,147456,699,70
1996,Jan,First Source International,16384,478,70,4Mx36-70 SIMM [72 pin] @ $478,BYTE,186,147456,689,70
1996,Feb,Worldwide,16384,460,70,4Mx36-70 SIMM [72 pin] @ $460,BYTE,217,147456,689,70
1996,Mar,First Source International,8192,209,70,2Mx36-70 SIMM [72 pin] @ $209,BYTE,170,36864,133.95,70
1996,Apr,Worldwide,16384,395,70,4Mx36-70 SIMM [72 pin] @ $395,BYTE,196,36864,129.95,70
1996,May,Worldwide,32768,550,60,8Mx36-60 SIMM [72 pin] @ $550,BYTE,195,,,
1996,Jun,First Source International,8192,119,70,2Mx36-70 SIMM [72 pin] @ $119,BYTE,186,,,
1996,Jul,Worldwide,16384,180,60,4Mx32-60 SIMM [72 pin] @ $180,BYTE,180,,,
1996,Aug,Worldwide,16384,145,60,4Mx36-60 SIMM [72 pin] @ $145,BYTE,164,,,
1996,Sep,Worldwide,16384,135,60,4Mx36-60 SIMM [72 pin] @ $135,BYTE,192,,,
1996,Oct,First Source International,16384,128,70,4Mx36-70 SIMM [72 pin] @ $128,BYTE,181,,,
1996,Nov,First Source International,8192,42,70,2Mx32-70 SIMM [72 pin] @ $42,BYTE,210,,,
1996,Dec,First Source International,8192,42,70,2Mx32-70 SIMM [72 pin] @ $42,BYTE,177,,,
1997,Jan,First Source International,8192,37,60,2Mx32-60 SIMM EDO [72 pin] @ $37,BYTE,153,,,
1997,Feb,Memory On-Line,8192,29,60,2Mx32-60 SIMM EDO [72 pin] @ $29,BYTE,169,,,
1997,Mar,Memory On-Line,8192,24,60,2Mx32-60 SIMM EDO [72 pin] @ $24,BYTE,167,,,
1997,Apr,Memory On-Line,8192,24,60,2Mx32-60 SIMM EDO [72 pin] @ $24,BYTE,166,,,
1997,May,Memory On-Line,8192,24,60,2Mx32-60 SIMM EDO [72 pin] @ $24,BYTE,147,,,
1997,Jun,Memory On-Line,16384,59,60,4Mx32-60 SIMM EDO [72 pin] @ $59,BYTE,163,,,
1997,Jul,Miami Int'l,8192,32,70,2Mx32-? SIMM EDO [72 pin] @ $32,Pcmag,401,last Byte,,
1997,Aug,Bason Memory Warehouse,8192,33,70,2Mx32-? SIMM FPM [72 pin] @ $33,Pcmag,416,,,
1997,Sep23,Miami Int'l,16384,58,,???,Pcmag,306,,,
1997,Oct21,Miami Int'l,32768,109,,???,Pcmag,339,,,
1997,Nov18,LA Trade,32768,104,,8Mx32-? SIMM EDO [72 pin] @ $104,Pcmag,315,,,
1997,Dec16,Computer America Inc,32768,69,,8Mx32-? SIMM EDO [72 pin] @ $69,Pcmag,329,,,
1998,Jan20,Computer America Inc,32768,69,,8Mx32-? SIMM EDO [72 pin] @ $69,Pcmag,277,,,
1998,Feb24,Computer America Inc,32768,29,,8Mx32-? SIMM EDO [72 pin] @ $29,Pcmag,261,,,
1998,Mar10,Computer America Inc,32768,31,,8Mx32-? SIMM EDO [72 pin] @ $31,Pcmag,302,,,
1998,Apr21,Computer America Inc,32768,39,,8Mx32-? SIMM EDO [72 pin] @ $39,Pcmag,258,,,
1998,May26,Computer America Inc,32768,38,,8Mx32-? SIMM EDO [72 pin] @ $38,Pcmag,294,,,
1998,Jun30,Computer America Inc,32768,31,,8Mx32-? SIMM EDO [72 pin] @ $31,Pcmag,296,,,
1998,Aug,Computer Services,32768,33,,4Mx64-? DIMM SDRAM @ $33,Pcmag,388,,,
1998,Sep22,Computer Services,32768,31,,8Mx32-? SIMM EDO [72 pin] @ $31,Pcmag,279,,,
1998,Oct20,Computer Services,32768,37,,8Mx32-? SIMM EDO [72 pin] @ $37,Pcmag,293,,,
1998,Nov17,Discount Memory,32768,27,,8Mx32-? SIMM FPM [72 pin] @ $27,Pcmag,286,,,
1998,Dec1,Discount Memory,32768,27,,8Mx32-? SIMM FPM [72 pin] @ $27,Pcmag,390,,,
1999,Feb9,Memory Liquidators,32768,46,,8Mx32-? SIMM FPM [72 pin] @ $46,Pcmag,263,,,
1999,Feb23,Discount Memory,32768,27,,8Mx32-? SIMM FPM [72 pin] @ $27,Pcmag,226,,,
1999,Mar23,Tiger Systems,65536,79.99,,64 MB DIMM PC-100 @ $79.99,Pcmag,261,,,
1999,Apr20,TigerDirect.com,65536,79.99,,64 MB DIMM PC-100 @ $79.99,Pcmag,277,,,
1999,May25,TigerDirect.com,65536,54.99,,64 MB DIMM PC-100 @ $54.99,Pcmag,273,,,
1999,Jul99,TigerDirect.com,131072,99.99,,128 MB DIMM PC-100 @ $99.99,Pcmag,323,,,
1999,Sep21,www.crucial.com,131072,111.14,,128 MB DIMM PC-100 @ $111.14,Pcmag,222,,,
1999,Oct19,www.crucial.com,65536,66.49,,64 MB DIMM PC-100 @ $66.49,Pcmag,219,,,
1999,Nov16,www.crucial.com,131072,170.99,,128 MB DIMM PC-100 @ $170.99,Pcmag,247,,,
1999,Dec1,www.crucial.com,131072,300.59,,128 MB DIMM PC-100 @ $300.59,Pcmag,287,,,
2000,Jan18,Crucial Technology,65536,99.89,,64 MB DIMM PC-100 @ $99.89,Pcmag,14,,,
2000,Feb18,Crucial Technology,65536,94.49,,64 MB DIMM PC-100 @ $94.49,Pcmag,18,,,
2000,Mar21,StarSurplus.com,65536,69,,64 MB DIMM PC-100 @ $69,Pcmag,214,,,
2000,Apr18,Crucial Technology,65536,53.99,,64 MB DIMM PC-100 @ $53.99,Pcmag,16,,,
2000,May9,StarSurplus.com,131072,89,,128 MB DIMM PC-100 @ $89,Pcmag,254,,,
2000,Jun27,Crucial Technology,65536,57.59,,64 MB DIMM PC-100 @ $57.59,Pcmag,18,,,
2000,Jul,StarSurplus.com,131072,99,,128 MB DIMM PC-133 @ $99,Pcmag,228,,,
2000,Aug,Crucial Technology,65536,53.99,,64 MB DIMM PC-100 @ $53.99,Pcmag,18,,,
2000,Sep1,Crucial Technology,65536,68.39,,64 MB DIMM PC-133 @ $68.39,Pcmag,18,only advert for RAM,,
2000,Oct3,Crucial Technology,65536,71.99,,64 MB DIMM PC-133 @ $71.99,Pcmag,18,only advert for RAM,,
2000,Nov7,Crucial Technology,65536,71.99,,64 MB DIMM PC-133 @ $71.99,Pcmag,18,only advert for RAM,,
2000,Dec5,Crucial Technology,65536,57.59,,64 MB DIMM PC-133 @ $57.59,Pcmag,19,discount for web purchase,,
2001,Jan2,Crucial Technology,65536,47.69,,64 MB DIMM PC-133 @ $47.69,Pcmag,19,discount for web purchase,,
2001,Feb6,Crucial Technology,131072,59.39,,128 MB DIMM PC-133 @ $59.39,Pcmag,90,discount for web purchase,,
2001,Mar6,Crucial Technology,131072,59.39,,128 MB DIMM PC-133 @ $59.39,Pcmag,99,discount for web purchase,,
2001,Apr3,StarSurplus.com,131072,49,,128 MB DIMM PC-133 @ $49,Pcmag,178,,,
2001,May8,Crucial Technology,131072,49.49,,128 MB DIMM PC-100 @ $49.49,Pcmag,85,discount for web purchase,,
2001,Jun12,StarSurplus.com,131072,39,,128 MB DIMM PC-133 @ $39,Pcmag,207,,,
2001,Jul,Crucial Technology,262144,89.99,,256 MB DDR PC2100 @ $89.99,Pcmag,143,discount for web purchase,,
2001,Jul,iMemoryMall.com,262144,69,,256 MB DIMM PC-133 @ $69,Pcmag,196,,,
2001,Aug,StarSurplus.com,262144,49,,256 MB DIMM PC-133 @ $49,Pcmag,169,,,
2001,Sep4,StarSurplus.com,262144,49,,256 MB DIMM PC-133 @ $49,Pcmag,215,,,
2001,Oct16,Crucial Technology,131072,21.59,,128 MB DIMM PC-133 @ $21.59,Pcmag,60,discount for web purchase,,
2001,Oct30,Crucial Technology,131072,18.89,,128 MB DIMM PC-133 @ $18.89,Pcmag,161,discount for web purchase,,
2002,Feb12,Crucial Technology,262144,34.19,,256 MB DIMM PC-133 @ $34.19,Pcmag,47,,,
2002,Feb12,Crucial Technology,262144,53.09,,256 MB DDR PC2100 @ $53.09,Pcmag,47,,,
2002,Apr9,StarSurplus.com,524288,99,,512 MB DIMM PC-133 @ $99,Pcmag,133,,,
2002,May7,StarSurplus.com,524288,99,,512 MB DIMM PC-133 @ $99,Pcmag,132,,,
2002,Jun30,Crucial Technology,131072,42.29,,128 MB DIMM PC-133 @ $42.29,Pcmag,68,,,
2002,Aug02,Crucial Technology,262144,49.49,,256 MB DIMM PC-133 @ $49.49,Pcmag,49,,,
2002,Oct1,Crucial Technology,262144,49.49,,256 MB DIMM PC-133 @ $49.49,Pcmag,115,,,
2003,Mar25,NewEgg.com,262144,45,,256 MB DIMM DDR-2100 @ $45,Pcmag,95,,,
2003,Apr22,StarSurplus.com,524288,39,,512 MB DIMM PC-133 @ $39,Pcmag,133,,,
2003,May27,NewEgg.com,524288,64.5,,512 MB DIMM DDR-2700 @ $64.50,Pcmag,95,,,
2003,Jun17,HardDrive.com,524288,59,,512 MB DIMM PC-133 @ $59,Pcmag,137,,,
2003,July,Crucial Technology,262144,33.99,,256 MB DIMM DDR-2100 @ $33.99,Pcmag,101,,,
2003,Aug19,Crucial Technology,524288,65.99,,512 MB DIMM SDRAM @ $65.99,Pcmag,54,DDR at $72.99,,
2003,Sep16,Crucial Technology,524288,72.99,,512 MB DIMM SDRAM @ $72.99,Pcmag,64,DDR at $86.99,,
2003,Oct1,Crucial Technology,524288,75.99,,512 MB DIMM SDRAM @ $75.99,Pcmag,54,DDR at $86.99,,
2003,Nov25,Crucial Technology,524288,81.99,,512 MB DIMM PC-133 @ $81.99,Pcmag,82,DDR at $85.99,,
2003,Dec30,Crucial Technology,524288,84.99,,512 MB DIMM PC-133 @ $84.99,Pcmag,37,DDR at $85.99,,
2004,Jan,NewEgg.com,524288,89,,512 MB DIMM DDR-3200 @ $89,Pcmag,143,,,
2004,Feb17,NewEgg.com,524288,76,,512 MB DIMM DDR-3200 @ $76,Pcmag,78,GEIL,,
2004,Mar16,NewEgg.com,524288,75,,512 MB DIMM DDR-3200 @ $75,Pcmag,115,GEIL,,
2004,May4,NewEgg.com,524288,80,,512 MB DIMM DDR-3200 @ $76,Pcmag,19,GEIL,,
2004,Jun8,NewEgg.com,524288,104,,512 MB DIMM DDR-3200 @ $104,Pcmag,19,GEIL,,
2004,July,NewEgg.com,524288,90,,512 MB DIMM DDR-3200 @ $90,Pcmag,19,Kingston,,
2005,Apr12,NewEgg.com,1048576,189,,2x512 MB DIMM DDR-3200 @ $90,Pcmag,24,Mushkin,,
2005,Jun7,NewEgg.com,1048576,153,,1 GB DIMM DDR PC-3200Pro @ $153,Pcmag,20,Corsair,,
2005,Nov8,NewEgg.com,1048576,119,,1 GB DIMM DDR2-533 @ $119,Pcmag,67,,,
2005,Dec6,NewEgg.com,1048576,189,,2x512 MB DIMM DDR-4800 @ $189,Pcmag,139,,,
2006,Mar21,NewEgg.com,2097152,229.81,,2x1 GB DIMM DDR-500 PC4000 @ $229.81,Pcmag,66,OCZ Gold,,
2006,May25,NewEgg.com,2097152,148.99,,2x1 GB DIMM DDR2-667 @ $148.99 free shipping,Web,,OCZ Gold,,
2006,Jul23,NewEgg.com,1048576,83.99,,1GB DIMM DDR2-667 @$83.99,Web,,Kingston,,
2006,Sep1,NewEgg.com,2097152,149.99,,2x1 GB DIMM DDR2-667 @ $179.99-$30 rebate + 4.99 shipping,Web,,OCZ Gold,,
2006,Oct5,NewEgg.com,2097152,179.98,,2x1 GB DIMM DDR2-667 @ $214.99-$40 rebate + 4.99 shipping,Web,,PQi,,
2006,Nov25,NewEgg.com,2097152,199.99,,2x1 GB DIMM DDR2-800 @ $199.99 + free shipping,Web,,G. Skill,,
2006,Dec21,NewEgg.com,1048576,93.98,,1GB DIMM DDR-400 @$88.99 + 4.99 shipping,Web,,Wintec,,
2007,Jan28,NewEgg.com,1048576,83.98,,1GB DIMM DDR-400 @$78.99 + 4.99 shipping,Web,,PQi,,
2007,Feb28,NewEgg.com,1048576,79.98,,1GB DIMM DDR2-800 @ $74.99 + $4.99 shipping,Web,,Patriot,,
2007,Mar15,NewEgg.com,2097152,134.98,,2x1 GB DIMM DDR2-667 @ $129.99 + 4.99 shipping,Web,,Wintec,,
2007,May7,NewEgg.com,2097152,94.99,5-5-5-18,2x1 GB DIMM DDR2-800 @ $94.99 + free shipping,Web,,A-Data,,
2007,July9,NewEgg.com,2097152,78.98,cas 5,2x1 GB DIMM DDR2-667 @ $73.99 + 4.99 shipping,Web,,Super Talent,,
2007,Sept30,NewEgg.com,2097152,71.98,cas 5,2x1 GB DIMM DDR2-800 @ $66.99 + 4.99 shipping,Web,,Mushkin,,
2007,Oct16,NewEgg.com,2097152,65.98,5-5-5-18,2x1 GB DIMM DDR2-800 @ $60.99 + 4.99 shipping,Web,,A-Data,,
2007,Nov10,NewEgg.com,2097152,49.98,,2x1 GB DIMM DDR2-667 @ $44.99 + 4.99 shipping,Web,,Kingston,,
2007,Dec05,NewEgg.com,2097152,49.95,5-5-5-15,2x1 GB DIMM DDR2-800 @ $49.95 + free shipping,Web,,G.Skill,,
2008,Jan18,NewEgg.com,4194304,94.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $94.99 + free shipping,Web,,G.Skill,,
2008,Feb20,NewEgg.com,2097152,44.99,5-5-5-15,2x1 GB DIMM DDR2-800 @ $44.99 + free shipping,Web,,G.Skill,,
2008,May18,NewEgg.com,2097152,44.99,5-5-5-15,2x1 GB DIMM DDR2-800 @ $44.99 + free shipping,Web,,G.Skill,,
2008,Jul07,NewEgg.com,4194304,84.98,5-5-5-18,2x2 GB DIMM DDR2-800 @ $77.99 + 5.99 shipping,Web,,A-Data,,
2008,Aug21,NewEgg.com,2097152,35.99,,2x1 GB DIMM DDR2-667 @ $35.99 + free shipping,Web,,Crucial,,
2008,Sep25,NewEgg.com,2097152,29.99,cas 5,2x1 GB DIMM DDR2-667 @ $29.99 + free shipping,Web,,Crucial,,
2008,Nov14,NewEgg.com,4194304,44.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $49.99 + free shipping,Web,,G.Skill,,
2008,Dec14,NewEgg.com,4194304,39.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $39.99 + free shipping,Web,,G.Skill,,
2009,Jan19,NewEgg.com,4194304,39.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $39.99 + free shipping,Web,,G.Skill,,
2009,Feb14,NewEgg.com,2097152,21.99,cas 6,2x1 GB DIMM DDR2-800 @ $21.99 + free shipping,Web,,Kingston,,
2009,Apr03,NewEgg.com,4194304,42.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $42.99 + free shipping,Web,,G.Skill,,
2009,Jun03,NewEgg.com,4194304,46.99,5-5-5-18,2x2 GB DIMM DDR2-800 @ $46.99 + free shipping,Web,,Corsair,,
2009,Jul02,NewEgg.com,4194304,44.99,5-5-5-18,2x2 GB DIMM DDR2-800 @ $44.99 + free shipping,Web,,Corsair,,
2009,Aug20,NewEgg.com,4194304,51.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $51.99 + free shipping,Web,,G.Skill,,
2009,Oct07,NewEgg.com,4194304,74.99,5-5-5-15,2x2 GB DIMM DDR2-1066 @ $74.99 + free shipping,Web,,Patriot,,
2009,Dec12,NewEgg.com,2097152,41.99,,1x2 GB DIMM DDR2-800 @ $41.99 + free shipping,Web,,Crucial,,
2010,Jan15,NewEgg.com,4194304,77.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $77.99 + free shipping,Web,,Wintec,,
2010,Feb11,NewEgg.com,4194304,82.78,cas 5,2x2 GB DIMM DDR2-667 @ $79.99 + 2.99 shipping,Web,,Patriot,,
2010,Mar10,NewEgg.com,2097152,39.99,cas 5,2x1 GB DIMM DDR2-800 @ $39.99 + free shipping,Web,,Wintec,,
2010,May09,NewEgg.com,4194304,98.98,cas 5,2x2 GB DIMM DDR2-800 @ $92.99 + 5.99 shipping,Web,,PQi,,
2010,Jul25,NewEgg.com,4194304,85.98,9-9-9-20,2x2 GB DIMM DDR3-1333 @ $84.99 + 0.99 shipping,Web,,,,
2010,Aug26,NewEgg.com,4194304,89.99,9-9-9-24,2x2 GB DIMM DDR3-1333 @ $89.99 + free shipping,Web,,Patriot,,
2010,Oct07,NewEgg.com,4194304,69.99,7-7-7-20,2x2 GB DIMM DDR3-1066 @ $69.99 + free shipping,Web,,OCZ Gold,,
2010,Nov16,NewEgg.com,4194304,59.99,9-9-9-24,2x2 GB DIMM DDR3-1333 @ $59.99 + free shipping,Web,,Mushkin,,
2010,Dec10,NewEgg.com,8388608,99.99,9-9-9-24,2x4 GB DIMM DDR3-1333 @ $99.99 + free shipping,Web,,Mushkin,,
2011,Jan21,NewEgg.com,4194304,40.98,cas 9,2x2 GB DIMM DDR3-1333 @ $40.98 + free shipping,Web,,A-Data,,
2011,Feb12,NewEgg.com,4194304,41.99,cas 9,1x4 GB DIMM DDR3-1333 @ $41.99 + free shipping,Web,,Kingston,,
2011,May06,NewEgg.com,8388608,81.99,9-9-9-24,2x4 GB DIMM DDR3-1333 @ $81.99 + free shipping,Web,,GEIL,,
2011,Jun22,NewEgg.com,8388608,69.99,cas 9,2x4 GB DIMM DDR3-1333 @ $69.99 + free shipping,Web,,Kingston,,
2011,Sep02,NewEgg.com,4194304,21.99,cas 9,1x4 GB DIMM DDR3-1333 @ $21.99 + free shipping,Web,,Crucial,,
2011,Oct17,NewEgg.com,8388608,41.99,cas 9,2x4 GB DIMM DDR3-1333 @ $41.99 + free shipping,Web,,PNY Optima,,
2012,Jan12,NewEgg.com,8388608,39.99,9-9-9-24,2x4 GB DIMM DDR3-1600 @ $39.99 + free shipping,Web,,Corsair,,
2012,Feb13,NewEgg.com,8388608,39.99,cas 9,2x4 GB DIMM DDR3-1600 @ $39.99 + free shipping,Web,,Kingston,,
2012,Apr08,NewEgg.com,8388608,40.99,9-9-9-24,2x4 GB DIMM DDR3-1333 @ $40.99 + free shipping,Web,,Patriot,,
2012,May24,NewEgg.com,8388608,39.99,9-9-9-24,2x4 GB DIMM DDR3-1333 @ $39.99 + free shipping,Web,,Team Elite,,
2012,Aug20,NewEgg.com,16777216,77.99,cas 9,2x8 GB DIMM DDR3-1333 @ $77.99 + free shipping,Web,,Kingston,,
2012,Sep21,NewEgg.com,16777216,64.79,10-10-10-28,2x8 GB DIMM DDR3-1600 @ $64.79 + free shipping,Web,,GEIL EVO Corsa,,
2012,Nov17,NewEgg.com,8388608,29.99,cas 9,2x4 GB DIMM DDR3-1333 @ $29.99 + free shipping,Web,,Crucial Ballistix,,
2013,Jan17,NewEgg.com,8388608,34.99,9-9-9-24,2x4 GB DIMM DDR3-1600 @ $34.99 + free shipping,Web,,Wintec One,,
