year,day_month,Company,Size in Kbyte,Cost in USD,Speed in nanosec,Memory Type,Ref,Page,JDR Chip Prices - Size Kbit,JDR Chip Prices - USD,JDR Chip Prices - nanosec
2017,Oct27,NewEgg.com,16777216,109.99,,2x8 GB DIMM DDR3-1600 @ $109.99 + free shipping,Web,,Team Elite Plus,,
2017,Dec12,NewEgg.com,16777216,115.99,,2x8 GB DIMM DDR3-1600 @ $115.99 + free shipping,Web,,Silicon Power,,
2018,Feb14,NewEgg.com,16777216,108.99,,2x8 GB DIMM DDR3-1600 @ $108.99 + free shipping,Web,,Silicon Power,,
2018,Mar23,NewEgg.com,16777216,113.99,,2x8 GB DIMM DDR3-1600 @ $113.99 + free shipping,Web,,Team Dark,,
2018,May11,NewEgg.com,16777216,111.98,,2x8 GB DIMM DDR3-1600 @ $110.99 + $0.99 shipping,Web,,Team Dark,,
2018,Jun19,NewEgg.com,16777216,104.99,11-11-11-28,2x8 GB DIMM DDR3-1600 @ $104.99 + free shipping,Web,,Adata XPG V1.0,,
2018,Jul08,NewEgg.com,16777216,110.98,9-9-9-24,2x8 GB DIMM DDR3-1600 @ $109.99 + $0.99 shipping,Web,,Team Vulcan,,
2018,Aug24,NewEgg.com,16777216,100.98,,2x8 GB DIMM DDR3-1600 @ $99.99 + $0.99 shipping,Web,,Team Dark,,
2018,Sep20,NewEgg.com,16777216,89.99,11-11-11-28,2x8 GB DIMM DDR3-1600 @ $89.99 + free shipping,Web,,G.Skill,,
2018,Nov11,NewEgg.com,16777216,82.99,11-11-11-28,2x8 GB DIMM DDR3L-1600 @ $82.99 + free shipping,Web,,Mushkin Enhanced Essentials,,
2018,Dec16,NewEgg.com,8388608,37.99,,1x8 GB DIMM DDR3-1333 @ $37.99 + free shipping,Web,,G.Skill Value Series,,
2019,Jan17,NewEgg.com,16777216,69.99,11-11-11-28,2x8 GB DIMM DDR3L-1600 @ $69.99 + free shipping,Web,,Mushkin Enhanced Essentials,,
2019,Feb11,NewEgg.com,16777216,69.99,11-11-11-28,2x8 GB DIMM DDR3L-1600 @ $69.99 + free shipping,Web,,Mushkin Enhanced Essentials,,
2019,Mar17,NewEgg.com,16777216,68.99,11-11-11-28,2x8 GB DIMM DDR3L-1600 @ $68.99 + free shipping,Web,,Mushkin Enhanced Essentials,,
2019,Apr21,NewEgg.com,16777216,60.98,11-11-11-28,2x8 GB DIMM DDR3-1600 @ $59.99 + $0.99 shipping,Web,,G.Skill Value,,
2019,May20,NewEgg.com,8388608,27.99,CL 11,1x8 GB DIMM DDR3-1600 @ $27.99 + free shipping,Web,,Patriot Signature Line,,
2019,Jun19,NewEgg.com,8388608,25.99,17-17-17-39,1x8 GB DIMM DDR4-2400 @ $25.99 + free shipping,Web,,OLOy MD4U0824171BSA,,
2019,Jul18,NewEgg.com,16777216,44.99,17-17-17-39,2x8 GB DIMM DDR4-2400 @ $44.99 + free shipping,Web,,OLOy  ,,
2019,Aug17,NewEgg.com,16777216,44.99,17-17-17-39,2x8 GB DIMM DDR4-2400 @ $44.99 + free shipping,Web,,OLOy  ,,
2019,Sep16,NewEgg.com,16777216,53.99,16-18-18-35,2x8 GB DIMM DDR4-2666 @ $53.99 + free shipping,Web,,OLOy,,
2019,Oct18,NewEgg.com,33554432,99.99,19-19-19-43,2x16 GB DIMM DDR4-2666 @ $99.99 + free shipping,Web,,G.Skill Aegis,,
2019,Nov14,NewEgg.com,33554432,94.99,16-18-18-36,2x16 GB DIMM DDR4-3000 @ $94.99 + free shipping,Web,,Geil Evo Potenza AMD,,
2019,Dec17,NewEgg.com,33554432,92.99,19-18-18-38,2x16 GB DIMM DDR4-3000 @ $92.99 + free shipping,Web,,OLOy,,
